TrainingCenterDatabase,xsi:schemaLocation,xmlns:ns5,xmlns:ns3,xmlns:ns2,xmlns,xmlns:xsi,xmlns:ns4,Activities,Activity,Sport,Id,Lap,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageHeartRateBpm,Value,MaximumHeartRateBpm,Value,Intensity,TriggerMethod,Track,Trackpoint,Time,Position,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,DistanceMeters,HeartRateBpm,Value,Extensions,ns3:TPX,ns3:Speed,ns3:RunCadence,ns3:Watts,Extensions,ns3:LX,ns3:AvgSpeed,ns3:AvgRunCadence,ns3:MaxRunCadence,ns3:AvgWatts,ns3:MaxWatts,Creator,xsi:type,Name,UnitId,ProductID,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,Author,xsi:type,Name,Build,Version,VersionMajor,VersionMinor,BuildMajor,BuildMinor,LangID,PartNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:21.000Z,,43.69915377,-79.39665302,160.6000061,170.8699951,,119,,,3.237999916,83,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:22.000Z,,43.69912796,-79.39665302,160.6000061,173.9100037,,119,,,3.266000032,83,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:23.000Z,,43.69909971,-79.39664606,160.3999939,177.2400055,,119,,,3.302999973,84,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:24.000Z,,43.69906836,-79.39665377,160.3999939,180.4799957,,120,,,3.339999914,84,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:25.000Z,,43.69904213,-79.39664572,160.3999939,183.6399994,,120,,,3.33100009,84,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:26.000Z,,43.69900675,-79.39664908,160.3999939,187.3500061,,120,,,3.33100009,84,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:27.000Z,,43.69897817,-79.39664665,160.3999939,190.4199982,,120,,,3.33100009,84,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:28.000Z,,43.69894783,-79.39664028,160.1999969,193.9900055,,121,,,3.339999914,84,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:29.000Z,,43.69891455,-79.39664195,160.1999969,197.5299988,,121,,,3.414999962,84,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11T11:41:30.000Z,,43.69888823,-79.39663139,160.1999969,200.8300018,,121,,,3.414999962,84,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,
